price,quantity,age,tenure_months,category_encoded,region_encoded,gender_encoded,year,month,quarter,day_of_week,day_of_month,is_weekend,is_month_end,is_month_start,is_holiday_season,is_summer,is_spring,customer_total_purchases,customer_avg_quantity,customer_total_spent,customer_avg_spent,product_popularity,product_avg_price,product_total_sales,region_avg_sales,region_total_sales,price_vs_avg,discount_indicator,segment_avg_sales,customer_rolling_avg_3,customer_rolling_avg_7,total_value
12000,1,44,2,1,3,1,2022,5,2,1,3,0,0,1,0,0,1,5,2.4,281000,56200.0,787,12000.0,28200000,57156.431113370614,112426700,1.0,0,57205.288270377736,58666.666666666664,58666.666666666664,12000
12000,5,56,31,0,3,0,2021,1,1,2,27,0,1,0,1,0,0,5,3.6,219000,43800.0,801,12000.0,28596000,57156.431113370614,112426700,1.0,0,57205.288270377736,28000.0,28000.0,60000
45000,1,32,2,0,3,1,2022,5,2,5,7,1,0,0,0,0,1,2,2.5,325000,162500.0,799,45000.0,108450000,57156.431113370614,112426700,1.0,0,58039.03816199377,45000.0,45000.0,45000
8000,2,19,49,1,1,1,2021,12,4,6,5,1,0,1,1,0,0,3,2.6666666666666665,76050,25350.0,809,8000.0,19264000,59363.15510852303,112137000,1.0,0,58106.99348645869,38000.0,38000.0,16000
3000,1,22,1,0,0,1,2020,11,4,2,4,0,0,1,0,0,0,7,2.142857142857143,428150,61164.28571428572,782,3000.0,6975000,56760.083064143975,122999100,1.0,0,58106.99348645869,17683.333333333332,17683.333333333332,3000
12000,1,63,33,0,3,1,2022,10,4,2,26,0,1,0,0,0,0,7,2.7142857142857144,294550,42078.57142857143,801,12000.0,28596000,57156.431113370614,112426700,1.0,0,57205.288270377736,26000.0,49083.333333333336,12000
12000,1,30,1,0,0,1,2020,5,2,5,30,1,1,0,0,0,1,6,3.3333333333333335,659000,109833.33333333333,801,12000.0,28596000,56760.083064143975,122999100,1.0,0,57205.288270377736,26000.0,26000.0,12000
8000,5,47,25,1,3,1,2023,12,4,6,31,1,1,0,1,0,0,9,2.7777777777777777,232400,25822.222222222223,809,8000.0,19264000,57156.431113370614,112426700,1.0,0,58039.03816199377,21366.666666666668,16771.428571428572,40000
15000,2,40,6,0,3,0,2021,3,1,0,22,0,0,0,0,0,1,3,3.0,76000,25333.333333333332,801,15000.0,35400000,57156.431113370614,112426700,1.0,0,58039.03816199377,30000.0,30000.0,30000
8000,2,20,27,1,0,1,2022,6,2,2,15,0,0,0,0,1,0,2,1.5,19000,9500.0,809,8000.0,19264000,56760.083064143975,122999100,1.0,0,58039.03816199377,9500.0,9500.0,16000
100,4,24,15,2,0,0,2020,5,2,4,8,0,0,0,0,0,1,2,4.0,32400,16200.0,790,100.0,241800,56760.083064143975,122999100,1.0,0,57205.288270377736,400.0,400.0,400
3000,3,19,19,0,1,1,2021,4,2,6,4,1,0,1,0,0,1,3,2.6666666666666665,24200,8066.666666666667,782,3000.0,6975000,59363.15510852303,112137000,1.0,0,57205.288270377736,9000.0,9000.0,9000
12000,4,21,21,1,1,1,2020,2,1,4,28,0,1,0,0,0,0,6,3.5,757000,126166.66666666667,787,12000.0,28200000,59363.15510852303,112137000,1.0,0,58106.99348645869,48000.0,48000.0,48000
12000,3,64,23,0,3,1,2021,4,2,4,9,0,0,0,0,0,1,6,2.8333333333333335,351000,58500.0,801,12000.0,28596000,57156.431113370614,112426700,1.0,0,58106.99348645869,49000.0,39000.0,36000
3000,3,27,27,0,0,1,2023,2,1,2,15,0,0,0,0,0,0,2,2.5,9100,4550.0,782,3000.0,6975000,56760.083064143975,122999100,1.0,0,57205.288270377736,4550.0,4550.0,9000
12000,4,20,59,0,2,0,2023,1,1,0,9,0,0,0,1,0,0,4,3.0,73500,18375.0,801,12000.0,28596000,58093.500252908445,114850850,1.0,0,58106.99348645869,24400.0,18375.0,48000
45000,1,28,23,0,0,1,2020,7,3,5,4,1,0,1,0,1,0,4,2.25,48700,12175.0,799,45000.0,108450000,56760.083064143975,122999100,1.0,0,58039.03816199377,22750.0,22750.0,45000
15000,4,22,32,0,2,0,2020,11,4,3,12,0,0,0,0,0,0,4,3.25,200150,50037.5,801,15000.0,35400000,58093.500252908445,114850850,1.0,0,58039.03816199377,37500.0,37500.0,60000
45000,1,44,10,0,3,1,2023,8,3,5,19,1,0,0,0,1,0,4,3.0,235500,58875.0,799,45000.0,108450000,57156.431113370614,112426700,1.0,0,57205.288270377736,48500.0,58875.0,45000
3000,3,47,31,0,1,0,2022,10,4,3,20,0,0,0,0,0,0,3,3.6666666666666665,45500,15166.666666666666,782,3000.0,6975000,59363.15510852303,112137000,1.0,0,58106.99348645869,15166.666666666666,15166.666666666666,9000
15000,4,54,38,0,0,0,2020,10,4,0,5,0,0,1,0,0,0,7,4.0,790200,112885.71428571429,801,15000.0,35400000,56760.083064143975,122999100,1.0,0,58039.03816199377,183333.33333333334,129200.0,60000
15000,5,51,3,0,3,0,2022,4,2,5,2,1,0,1,0,0,1,6,3.3333333333333335,294000,49000.0,801,15000.0,35400000,57156.431113370614,112426700,1.0,0,58106.99348645869,61000.0,53250.0,75000
12000,1,24,50,0,2,1,2023,1,1,5,7,1,0,0,1,0,0,6,2.0,105800,17633.333333333332,801,12000.0,28596000,58093.500252908445,114850850,1.0,0,58106.99348645869,5100.0,26325.0,12000
25000,5,24,47,0,1,0,2021,9,3,4,17,0,0,0,0,0,0,4,3.25,131300,32825.0,783,25000.0,59325000,59363.15510852303,112137000,1.0,0,58039.03816199377,62625.0,62625.0,125000
100,3,44,46,2,1,0,2021,2,1,0,1,0,0,1,0,0,0,6,2.3333333333333335,145300,24216.666666666668,790,100.0,241800,59363.15510852303,112137000,1.0,0,58106.99348645869,23100.0,23100.0,300
3000,1,24,7,0,3,0,2020,4,2,5,11,1,0,0,0,0,1,6,2.3333333333333335,252250,42041.666666666664,782,3000.0,6975000,57156.431113370614,112426700,1.0,0,58106.99348645869,3000.0,3000.0,3000
3000,2,20,39,0,3,1,2021,11,4,3,11,0,0,0,0,0,0,4,2.75,259000,64750.0,782,3000.0,6975000,57156.431113370614,112426700,1.0,0,58039.03816199377,27000.0,27000.0,6000
8000,2,38,1,1,1,1,2022,2,1,1,15,0,0,0,0,0,0,6,2.6666666666666665,344000,57333.333333333336,809,8000.0,19264000,59363.15510852303,112137000,1.0,0,57205.288270377736,65333.333333333336,61000.0,16000
12000,4,26,39,0,1,1,2021,5,2,4,7,0,0,0,0,0,1,6,3.0,431400,71900.0,801,12000.0,28596000,59363.15510852303,112137000,1.0,0,58039.03816199377,24133.333333333332,19600.0,48000
3000,1,23,41,0,2,0,2022,7,3,2,20,0,0,0,0,1,0,4,1.75,15250,3812.5,782,3000.0,6975000,58093.500252908445,114850850,1.0,0,58106.99348645869,5016.666666666667,3812.5,3000
8000,3,51,24,1,0,1,2020,9,3,3,10,0,0,0,0,0,0,5,2.6,189050,37810.0,809,8000.0,19264000,56760.083064143975,122999100,1.0,0,58106.99348645869,24000.0,24000.0,24000
25000,4,25,24,0,2,0,2020,11,4,3,26,0,1,0,0,0,0,3,4.0,325300,108433.33333333333,783,25000.0,59325000,58093.500252908445,114850850,1.0,0,58106.99348645869,162500.0,162500.0,100000
12000,3,51,39,1,1,0,2022,4,2,2,20,0,0,0,0,0,1,3,2.3333333333333335,68000,22666.666666666668,787,12000.0,28200000,59363.15510852303,112137000,1.0,0,58039.03816199377,22000.0,22000.0,36000
50,4,56,40,2,2,1,2020,3,1,0,2,0,0,1,0,0,1,5,3.0,270300,54060.0,831,50.0,121850,58093.500252908445,114850850,1.0,0,58106.99348645869,200.0,200.0,200
45000,3,37,14,0,1,0,2022,5,2,0,16,0,0,0,0,0,1,7,3.0,568300,81185.71428571429,799,45000.0,108450000,59363.15510852303,112137000,1.0,0,58106.99348645869,55733.333333333336,129300.0,135000
15000,1,31,20,0,3,1,2021,10,4,3,7,0,0,0,0,0,0,3,2.0,75000,25000.0,801,15000.0,35400000,57156.431113370614,112426700,1.0,0,58039.03816199377,19500.0,19500.0,15000
50,5,59,6,2,0,1,2023,5,2,6,14,1,0,0,0,0,1,2,3.0,8250,4125.0,831,50.0,121850,56760.083064143975,122999100,1.0,0,57205.288270377736,4125.0,4125.0,250
3000,4,61,24,0,2,1,2020,2,1,0,24,0,0,0,0,0,0,6,3.6666666666666665,183000,30500.0,782,3000.0,6975000,58093.500252908445,114850850,1.0,0,58039.03816199377,18000.0,18000.0,12000
12000,3,35,50,0,1,1,2023,4,2,4,21,0,0,0,0,0,1,6,2.8333333333333335,349150,58191.666666666664,801,12000.0,28596000,59363.15510852303,112137000,1.0,0,57205.288270377736,68666.66666666667,58191.666666666664,36000
12000,1,55,22,1,3,1,2023,5,2,5,13,1,0,0,0,0,1,4,2.5,84000,21000.0,787,12000.0,28200000,57156.431113370614,112426700,1.0,0,57205.288270377736,27000.0,27000.0,12000
45000,3,22,1,0,0,1,2021,5,2,6,2,1,0,1,0,0,1,7,2.142857142857143,428150,61164.28571428572,799,45000.0,108450000,56760.083064143975,122999100,1.0,0,58106.99348645869,46016.666666666664,47012.5,135000
15000,1,42,22,0,2,0,2022,9,3,3,8,0,0,0,0,0,0,4,3.25,108500,27125.0,801,15000.0,35400000,58093.500252908445,114850850,1.0,0,58106.99348645869,36000.0,36000.0,15000
100,3,41,44,2,0,0,2023,3,1,4,31,0,1,0,0,0,1,3,3.3333333333333335,56300,18766.666666666668,790,100.0,241800,56760.083064143975,122999100,1.0,0,58039.03816199377,18766.666666666668,18766.666666666668,300
3000,2,63,50,0,2,1,2023,5,2,0,15,0,0,0,0,0,1,5,3.6,468000,93600.0,782,3000.0,6975000,58093.500252908445,114850850,1.0,0,58039.03816199377,132000.0,105000.0,6000
12000,1,20,43,0,0,1,2021,9,3,0,13,0,0,0,0,0,0,4,3.0,533000,133250.0,801,12000.0,28596000,56760.083064143975,122999100,1.0,0,58106.99348645869,24000.0,24000.0,12000
12000,5,18,36,1,3,1,2023,2,1,5,4,1,0,1,0,0,0,6,3.5,108650,18108.333333333332,787,12000.0,28200000,57156.431113370614,112426700,1.0,0,58106.99348645869,28050.0,18108.333333333332,60000
50,1,38,1,2,3,0,2023,8,3,5,26,1,1,0,0,1,0,8,3.875,121650,15206.25,831,50.0,121850,57156.431113370614,112426700,1.0,0,57205.288270377736,20183.333333333332,17350.0,50
12000,3,47,36,1,0,0,2020,10,4,5,24,1,0,0,0,0,0,4,3.25,541100,135275.0,787,12000.0,28200000,56760.083064143975,122999100,1.0,0,57205.288270377736,36000.0,36000.0,36000
3000,2,29,21,0,0,1,2023,4,2,1,11,0,0,0,0,0,1,3,2.6666666666666665,90000,30000.0,782,3000.0,6975000,56760.083064143975,122999100,1.0,0,57205.288270377736,30000.0,30000.0,6000
25000,2,43,50,0,2,0,2023,2,1,4,24,0,0,0,0,0,0,6,2.0,216000,36000.0,783,25000.0,59325000,58093.500252908445,114850850,1.0,0,58039.03816199377,28666.666666666668,27750.0,50000
25000,1,39,7,0,2,0,2021,11,4,5,13,1,0,0,0,0,0,3,1.6666666666666667,79000,26333.333333333332,783,25000.0,59325000,58093.500252908445,114850850,1.0,0,58106.99348645869,35000.0,35000.0,25000
50,3,64,35,2,0,0,2022,1,1,0,31,0,1,0,1,0,0,6,3.3333333333333335,243700,40616.666666666664,831,50.0,121850,56760.083064143975,122999100,1.0,0,57205.288270377736,41850.0,41850.0,150
3000,3,34,19,0,2,0,2020,8,3,0,10,0,0,0,0,1,0,6,1.8333333333333333,90250,15041.666666666666,782,3000.0,6975000,58093.500252908445,114850850,1.0,0,58106.99348645869,27000.0,27000.0,9000
8000,3,54,25,1,1,0,2020,10,4,2,7,0,0,0,0,0,0,3,3.0,48400,16133.333333333334,809,8000.0,19264000,59363.15510852303,112137000,1.0,0,58039.03816199377,24000.0,24000.0,24000
3000,4,56,20,0,3,0,2022,7,3,6,17,1,0,0,0,1,0,5,3.8,198200,39640.0,782,3000.0,6975000,57156.431113370614,112426700,1.0,0,57205.288270377736,41000.0,49500.0,12000
50,2,51,41,2,0,0,2020,8,3,6,30,1,1,0,0,1,0,5,2.6,90650,18130.0,831,50.0,121850,56760.083064143975,122999100,1.0,0,57205.288270377736,100.0,100.0,100
8000,5,46,53,1,0,1,2022,8,3,1,23,0,0,0,0,1,0,8,3.5,530200,66275.0,809,8000.0,19264000,56760.083064143975,122999100,1.0,0,58106.99348645869,23400.0,70866.66666666667,40000
50,1,54,14,2,1,1,2020,10,4,4,16,0,0,0,0,0,0,4,3.0,364050,91012.5,831,50.0,121850,59363.15510852303,112137000,1.0,0,58039.03816199377,24025.0,24025.0,50
50,5,61,52,2,1,1,2023,2,1,2,1,0,0,1,0,0,0,4,3.5,149250,37312.5,831,50.0,121850,59363.15510852303,112137000,1.0,0,58106.99348645869,24750.0,24750.0,250
100,3,48,33,2,0,1,2020,2,1,3,20,0,0,0,0,0,0,4,3.75,539300,134825.0,790,100.0,241800,56760.083064143975,122999100,1.0,0,58039.03816199377,4650.0,4650.0,300
8000,4,24,15,1,0,0,2021,6,2,3,10,0,0,0,0,1,0,2,4.0,32400,16200.0,809,8000.0,19264000,56760.083064143975,122999100,1.0,0,57205.288270377736,16200.0,16200.0,32000
12000,5,22,23,0,2,0,2021,4,2,3,22,0,0,0,0,0,1,7,3.2857142857142856,353100,50442.857142857145,801,12000.0,28596000,58093.500252908445,114850850,1.0,0,57205.288270377736,40033.333333333336,55025.0,60000
12000,4,36,30,1,0,1,2023,1,1,1,3,0,0,1,1,0,0,8,3.625,242200,30275.0,787,12000.0,28200000,56760.083064143975,122999100,1.0,0,57205.288270377736,34666.666666666664,34571.42857142857,48000
12000,2,22,30,1,1,1,2022,11,4,0,21,0,0,0,0,0,0,5,2.8,545050,109010.0,787,12000.0,28200000,59363.15510852303,112137000,1.0,0,57205.288270377736,106666.66666666667,80012.5,24000
12000,3,33,57,1,3,1,2023,5,2,3,11,0,0,0,0,0,1,7,2.4285714285714284,235400,33628.57142857143,787,12000.0,28200000,57156.431113370614,112426700,1.0,0,58039.03816199377,20100.0,27566.666666666668,36000
15000,4,44,2,0,3,1,2022,12,4,4,9,0,0,0,1,0,0,5,2.4,281000,56200.0,801,15000.0,35400000,57156.431113370614,112426700,1.0,0,57205.288270377736,39000.0,56200.0,60000
25000,3,20,55,0,1,1,2023,4,2,5,15,1,0,0,0,0,1,5,2.8,393000,78600.0,783,25000.0,59325000,59363.15510852303,112137000,1.0,0,58106.99348645869,78000.0,92250.0,75000
12000,1,44,12,1,3,0,2023,10,4,2,4,0,0,1,0,0,0,3,2.3333333333333335,36400,12133.333333333334,787,12000.0,28200000,57156.431113370614,112426700,1.0,0,57205.288270377736,12133.333333333334,12133.333333333334,12000
12000,5,52,14,1,0,0,2021,5,2,0,31,0,1,0,0,0,1,4,2.75,95050,23762.5,787,12000.0,28200000,56760.083064143975,122999100,1.0,0,57205.288270377736,31500.0,31500.0,60000
3000,4,59,2,0,0,1,2022,4,2,1,12,0,0,0,0,0,1,4,3.25,87600,21900.0,782,3000.0,6975000,56760.083064143975,122999100,1.0,0,58106.99348645869,29033.333333333332,29033.333333333332,12000
100,4,61,1,2,3,0,2022,3,1,4,18,0,0,0,0,0,1,5,4.4,550650,110130.0,790,100.0,241800,57156.431113370614,112426700,1.0,0,58106.99348645869,33550.0,33550.0,400
25000,3,60,19,0,0,0,2023,12,4,0,25,0,0,0,1,0,0,2,2.0,78000,39000.0,783,25000.0,59325000,56760.083064143975,122999100,1.0,0,58039.03816199377,39000.0,39000.0,75000
50,5,40,5,2,0,1,2020,4,2,6,5,1,0,1,0,0,1,5,2.8,117250,23450.0,831,50.0,121850,56760.083064143975,122999100,1.0,0,58106.99348645869,250.0,250.0,250
100,1,36,23,2,3,0,2020,12,4,3,17,0,0,0,1,0,0,5,2.6,512100,102420.0,790,100.0,241800,57156.431113370614,112426700,1.0,0,58106.99348645869,100.0,100.0,100
15000,5,22,55,0,0,1,2020,8,3,3,20,0,0,0,0,1,0,4,3.25,167000,41750.0,801,15000.0,35400000,56760.083064143975,122999100,1.0,0,57205.288270377736,75000.0,75000.0,75000
8000,4,40,56,1,2,0,2023,4,2,0,17,0,0,0,0,0,1,3,4.333333333333333,47400,15800.0,809,8000.0,19264000,58093.500252908445,114850850,1.0,0,58039.03816199377,23500.0,23500.0,32000
8000,5,38,39,1,2,0,2021,1,1,6,10,1,0,0,1,0,0,4,3.25,173000,43250.0,809,8000.0,19264000,58093.500252908445,114850850,1.0,0,57205.288270377736,40000.0,40000.0,40000
100,5,45,34,2,1,0,2020,2,1,1,4,0,0,1,0,0,0,6,2.6666666666666665,491500,81916.66666666667,790,100.0,241800,59363.15510852303,112137000,1.0,0,58106.99348645869,500.0,500.0,500
12000,2,61,34,0,3,0,2021,4,2,5,10,1,0,0,0,0,1,6,2.5,211400,35233.333333333336,801,12000.0,28596000,57156.431113370614,112426700,1.0,0,58106.99348645869,28000.0,28000.0,24000
3000,4,52,17,0,3,1,2022,1,1,3,20,0,0,0,1,0,0,8,3.625,319400,39925.0,782,3000.0,6975000,57156.431113370614,112426700,1.0,0,57205.288270377736,29050.0,29050.0,12000
12000,5,60,22,1,0,0,2023,9,3,3,14,0,0,0,0,0,0,6,4.166666666666667,624000,104000.0,787,12000.0,28200000,56760.083064143975,122999100,1.0,0,57205.288270377736,28000.0,104000.0,60000
12000,1,61,33,1,2,0,2021,11,4,0,29,0,1,0,0,0,0,5,2.4,203000,40600.0,787,12000.0,28200000,58093.500252908445,114850850,1.0,0,57205.288270377736,10500.0,10500.0,12000
12000,1,42,41,0,0,1,2020,4,2,6,12,1,0,0,0,0,1,8,2.75,111750,13968.75,801,12000.0,28596000,56760.083064143975,122999100,1.0,0,58039.03816199377,12000.0,12000.0,12000
12000,1,36,32,1,3,1,2022,6,2,5,4,1,0,1,0,1,0,5,2.8,220300,44060.0,787,12000.0,28200000,57156.431113370614,112426700,1.0,0,58039.03816199377,8100.0,10075.0,12000
12000,4,27,12,1,1,1,2023,2,1,6,19,1,0,0,0,0,0,5,2.4,103350,20670.0,787,12000.0,28200000,59363.15510852303,112137000,1.0,0,58039.03816199377,26066.666666666668,20670.0,48000
15000,1,55,23,0,3,1,2021,3,1,4,19,0,0,0,0,0,1,5,3.0,340250,68050.0,801,15000.0,35400000,57156.431113370614,112426700,1.0,0,58106.99348645869,57500.0,57500.0,15000
12000,2,61,1,1,2,1,2023,9,3,4,1,0,0,1,0,0,0,4,1.75,194050,48512.5,787,12000.0,28200000,58093.500252908445,114850850,1.0,0,57205.288270377736,18016.666666666668,48512.5,24000
3000,3,22,59,0,3,0,2022,7,3,3,14,0,0,0,0,1,0,2,2.0,9100,4550.0,782,3000.0,6975000,57156.431113370614,112426700,1.0,0,57205.288270377736,4550.0,4550.0,9000
100,3,39,39,2,1,0,2020,1,1,0,6,0,0,0,1,0,0,4,2.5,81300,20325.0,790,100.0,241800,59363.15510852303,112137000,1.0,0,58106.99348645869,24150.0,24150.0,300
8000,1,22,2,1,2,1,2021,3,1,0,29,0,1,0,0,0,1,5,2.4,443000,88600.0,809,8000.0,19264000,58093.500252908445,114850850,1.0,0,58039.03816199377,49000.0,49000.0,8000
50,1,35,5,2,0,1,2022,4,2,3,28,0,1,0,0,0,1,4,3.75,348050,87012.5,831,50.0,121850,56760.083064143975,122999100,1.0,0,57205.288270377736,91016.66666666667,91016.66666666667,50
8000,1,51,39,1,1,0,2020,11,4,5,14,1,0,0,0,0,0,3,2.3333333333333335,68000,22666.666666666668,809,8000.0,19264000,59363.15510852303,112137000,1.0,0,58039.03816199377,8000.0,8000.0,8000
12000,3,64,34,0,2,1,2022,11,4,3,3,0,0,1,0,0,0,5,4.2,159400,31880.0,801,12000.0,28596000,58093.500252908445,114850850,1.0,0,58039.03816199377,17133.333333333332,24850.0,36000
45000,3,45,36,0,2,0,2023,4,2,1,25,0,0,0,0,0,1,5,4.0,794000,158800.0,799,45000.0,108450000,58093.500252908445,114850850,1.0,0,58106.99348645869,177666.66666666666,158800.0,135000
12000,1,36,23,1,3,0,2021,4,2,5,10,1,0,0,0,0,1,5,2.6,512100,102420.0,787,12000.0,28200000,57156.431113370614,112426700,1.0,0,58106.99348645869,6050.0,6050.0,12000
12000,4,29,3,0,0,1,2022,5,2,4,13,0,0,0,0,0,1,5,2.4,349000,69800.0,801,12000.0,28596000,56760.083064143975,122999100,1.0,0,57205.288270377736,89000.0,89000.0,48000
3000,2,50,9,0,1,0,2020,1,1,0,6,0,0,0,1,0,0,3,3.0,264000,88000.0,782,3000.0,6975000,59363.15510852303,112137000,1.0,0,57205.288270377736,6000.0,6000.0,6000
12000,4,27,2,0,0,0,2021,4,2,1,27,0,1,0,0,0,1,5,3.6,128400,25680.0,801,12000.0,28596000,56760.083064143975,122999100,1.0,0,58106.99348645869,29400.0,29400.0,48000
12000,4,58,43,0,3,0,2023,12,4,3,7,0,0,0,1,0,0,7,3.5714285714285716,292300,41757.142857142855,801,12000.0,28596000,57156.431113370614,112426700,1.0,0,58106.99348645869,39000.0,41757.142857142855,48000
50,3,31,10,2,3,1,2021,5,2,6,9,1,0,0,0,0,1,5,3.6,159650,31930.0,831,50.0,121850,57156.431113370614,112426700,1.0,0,58039.03816199377,37575.0,37575.0,150
3000,3,39,7,0,2,0,2023,3,1,6,12,1,0,0,0,0,1,3,1.6666666666666667,79000,26333.333333333332,782,3000.0,6975000,58093.500252908445,114850850,1.0,0,58106.99348645869,26333.333333333332,26333.333333333332,9000
3000,2,41,29,0,1,0,2020,8,3,4,21,0,0,0,0,1,0,6,3.5,707200,117866.66666666667,782,3000.0,6975000,59363.15510852303,112137000,1.0,0,58106.99348645869,118733.33333333333,118733.33333333333,6000
45000,3,40,57,0,2,0,2022,4,2,6,10,1,0,0,0,0,1,6,2.6666666666666665,260150,43358.333333333336,799,45000.0,108450000,58093.500252908445,114850850,1.0,0,57205.288270377736,73000.0,54787.5,135000
15000,1,45,44,0,2,0,2020,7,3,2,8,0,0,0,0,1,0,4,3.25,336000,84000.0,801,15000.0,35400000,58093.500252908445,114850850,1.0,0,57205.288270377736,120000.0,120000.0,15000
25000,4,28,22,0,0,0,2020,9,3,4,4,0,0,1,0,0,0,4,3.75,410200,102550.0,783,25000.0,59325000,56760.083064143975,122999100,1.0,0,57205.288270377736,100000.0,100000.0,100000
25000,2,27,59,0,1,1,2022,3,1,5,26,1,1,0,0,0,1,3,4.0,140000,46666.666666666664,783,25000.0,59325000,59363.15510852303,112137000,1.0,0,58106.99348645869,50000.0,50000.0,50000
50,4,52,39,2,2,0,2020,5,2,2,27,0,1,0,0,0,1,6,3.8333333333333335,535200,89200.0,831,50.0,121850,58093.500252908445,114850850,1.0,0,57205.288270377736,112600.0,112600.0,200
3000,5,33,57,0,3,1,2022,3,1,1,1,0,0,1,0,0,1,7,2.4285714285714284,235400,33628.57142857143,782,3000.0,6975000,57156.431113370614,112426700,1.0,0,58039.03816199377,35033.333333333336,35033.333333333336,15000
